Judul,Artis,Tahun,Era,Genre,Penulis,Lirik,Genius ID,Genius Path,Api Path,Header Image
Dan...,Sheila On 7,1999,90an,Indonesian Pop,Sheila On 7,"[Lirik ""Dan...""]:newline::newline:[Verse 1]:newline:Dan...:newline:Dan bila esok, datang kembali:newline:Seperti sedia kala:newline:Dimana kau bisa bercanda:newline::newline:[Verse 2]:newline:Dan...:newline:Perlahan kaupun, lupakan aku:newline:Mimpi burukmu:newline:Dimana t'lah kutancapkan duri tajam:newline:Kaupun menangis, menangis sedih:newline:Maafkan aku:newline::newline:[Verse 3]:newline:Dan...:newline:Bukan maksudku, bukan inginku:newline:Melukaimu sadarkah kau di sini 'ku pun terluka:newline:Melupakanmu, menepikanmu:newline:Maafkan aku:newline::newline:[Chorus]:newline:Lupakanlah saja diriku:newline:Bila itu bisa membuatmu kembali bersinar:newline:Dan berpijar seperti dulu kala:newline:Caci maki saja diriku:newline:Bila itu bisa membuatmu kembali bersinar:newline:Dan berpijar seperti dulu kala:newline::newline::newline::newline::newline:[Verse 3]:newline:Dan...:newline:Bukan maksudku, bukan inginku:newline:Melukaimu sadarkah kau di sini 'ku pun terluka:newline:Melupakanmu, menepikanmu:newline:Maafkan aku:newline::newline:[Chorus]:newline:Lupakanlah saja diriku:newline:Bila itu bisa membuatmu kembali bersinar:newline:Dan berpijar seperti dulu kala:newline:Caci maki saja diriku:newline:Bila itu bisa membuatmu kembali bersinar:newline:Dan berpijar seperti dulu kala:newline::newline:[Intrumental break]:newline::newline:[Chorus]:newline:Lupakanlah saja diriku:newline:Bila itu bisa membuatmu kembali bersinar:newline:Dan berpijar seperti dulu kala:newline:Caci maki saja diriku:newline:Bila itu bisa membuatmu kembali bersinar:newline:Dan berpijar seperti dulu kala",756719,/Sheila-on-7-dan-lyrics,/songs/756719,https://images.genius.com/fe85986bfd29686ab95dac4f36cc8cb5.600x600x1.jpg
Aku Milikmu,Dewa 19,1994,90an,Indonesian Pop,Dewa 19,[Verse 1]:newline:Terdengar lirih bisikanmu:newline:Diantara bayang-bayangmu:newline:Terucap kata cinta:newline:Yang dulu tersimpan:newline:Dan tak mau pergi:newline::newline:[Pre-Chorus]:newline:Mungkinkah kumiliki:newline:Cinta seperti ini lagi:newline:Jangan biarkan aku:newline:Kehilangan dirimu:newline::newline:[Chorus]:newline:Coba dengarkanlah sumpahku (janji suci):newline:Dari hati aku cinta kamu:newline:Jangan dengar kata mereka:newline:Yang tak ingin kita satu:newline:Yakinkan aku milikmu:newline:Aku milikmu:newline::newline:[Verse 2]:newline:Jalinan cinta tulus suci:newline:Terpadu terikat erat:newline:Jangan terpisah lagi:newline:Waktu 'kan menguji:newline:Cinta kita berdua:newline::newline::newline::newline::newline:[Pre-Chorus]:newline:Mungkinkah kumiliki:newline:Cinta seperti ini lagi:newline:Jangan biarkan aku:newline:Kehilangan dirimu:newline::newline:[Chorus]:newline:Coba dengarkanlah sumpahku (janji suci):newline:Dari hati aku cinta kamu:newline:Jangan dengar kata mereka:newline:Yang tak ingin kita satu:newline:Yakinkan aku milikmu:newline:Aku milikmu:newline::newline:[Bridge]:newline:Sekejap cinta terlahir:newline:Namun jadi sebuah cerita:newline:Yang tak mungkin terlupa:newline:Kuukir dihati:newline:Dan tak mau pergi:newline::newline:[Instrumental]:newline::newline:[Pre-Chorus]:newline:Mungkinkah kumiliki:newline:Cinta seperti ini lagi:newline:Jangan biarkan aku:newline:Kehilangan dirimu:newline::newline::newline::newline::newline:[Chorus]:newline:Coba dengarkanlah sumpahku (janji suci):newline:Dari hati aku cinta kamu:newline:Jangan dengar kata mereka:newline:Yang tak ingin kita satu:newline:Yakinkan aku milikmu:newline:Aku milikmu,1164701,/Dewa-19-aku-milikmu-lyrics,/songs/1164701,https://images.genius.com/4318738070ad2f940f3bebb965131fc8.220x220x1.jpg
Matahariku,Nike Ardilla,1991,90an,Indonesian Rock,Nike Ardilla,"[Verse 1]:newline:Di dalam gelap kehidupan ini:newline:Seakan tiada sinar cahayamu:newline:Kucoba melangkah dari satu keyakinan:newline:Di dalam gelap pasti ada terang:newline::newline:Kegagalan demi kegagalan:newline:Kujadikan pedoman hidup ini:newline:Bagai hari-hari, ada siang ada malam:newline:Teguhkan iman di dalam jiwa:newline::newline:[Chorus]:newline:Aku insan lemah:newline:Tak lepas dari goda dan cobaan:newline:Diri yang merana:newline:Terombang-ambing oleh kehidupan:newline::newline:Matahari pagi, pancarkan sinarmu:newline:Agar aku merasakan kehangatanmu:newline:Biarlah mimpi buruk yang kemarin:newline:Hilang ditelan malam yang kelam:newline::newline:[Verse 2]:newline:Kegagalan demi kegagalan (kegagalan):newline:Kujadikan pedoman hidup ini:newline:Bagai hari-hari ada siang ada malam:newline:Teguhkan iman di dalam jiwa:newline::newline::newline::newline::newline:[Chorus]:newline:Aku insan lemah (haa):newline:Tak lepas dari goda dan cobaan:newline:Diri yang merana:newline:Terombang-ambing oleh kehidupan (haa):newline::newline:Matahari pagi (haa), pancarkan sinarmu:newline:Agar aku merasakan kehangatanmu:newline:Biarlah mimpi buruk yang kemarin:newline:Hilang ditelan malam yang kelam:newline::newline:Kita manusia:newline:Tiada daya selain Engkau Pengasih:newline:Diri yang merana:newline:Terombang-ambing oleh kehidupan:newline:Matahari pagi, pancarkan sinarmu:newline:Agar aku merasakan kehangatanmu",5100483,/Nike-ardilla-matahariku-lyrics,/songs/5100483,https://images.genius.com/28af777a8d3137f1403c4a2db04e9b57.800x491x1.jpg
Pergilah Kasih,Chrisye,1991,90an,Pop Kreatif,Chrisye,Tak pernah kusangka ini terjadi:newline:Kisah cinta yang suci ini:newline:Kau tinggalkan begitu saja:newline:Sekian lamanya kita berdua:newline::newline:Tak kusangka cepat berlalu:newline:Tuk mencari kesombongan diri:newline:Lupa segala yang pernah kau ucapkan:newline:Kau tinggalkan daku:newline::newline:Pergilah kasih kejarlah keinginanm:newline:Selagi masih ada waktu:newline:Aku rela berpisah demi untuk dirimu:newline:Semoga tercapai segala keinginanmu,1245906,/Chrisye-pergilah-kasih-lyrics,/songs/1245906,https://images.genius.com/eafd06f7c040b56a3cb7576ced3e6b0e.500x500x1.jpg
Sobat,Padi,1999,90an,Indonesian Pop,Padi,"[Verse 1]:newline:Sobat, aku sungguh tak mengerti:newline:Semua ini bisa terjadi:newline:Setelah perkenalan itu:newline:Aku terhanyut:newline:Aku sebenar-benarnya tak kuasa:newline:Mendambakannya:newline:Merindukannya:newline::newline:[Verse 2]:newline:Kutahu dia milikmu tercinta:newline:Sebagai kembang yang kau pilih:newline:Namun hatiku hatinya:newline:Mengisyaratkan rasa:newline:Ingin memetik, merangkai:newline:Menjalinkan ikatan abadi:newline:Mendambakannya:newline:Merindukannya:newline::newline:[Chorus]:newline:Oh sobat, maafkan aku mencintainya:newline:Aku tak bermaksud membuatmu sungguh tak berarti:newline:Oh sobat, maafkan aku mencintainya:newline:Aku tak bermaksud membuatmu sungguh tak berarti:newline::newline:[Verse 3]:newline:Mencoba menahannya himpitan rasa itu:newline:Merajam keruhnya jiwaaku:newline:Ternyata hidupku dan dirinya terikat rasa tulus:newline:Takkan menyusutkan pelukku dan rindunya:newline:Mendambakannya:newline:Merindukannya:newline::newline::newline::newline::newline:[Chorus]:newline:Oh sobat, maafkan aku mencintainya:newline:Aku tak bermaksud membuatmu sungguh tak berarti:newline:Oh sobat, maafkan aku mencintainya:newline:Aku tak bermaksud membuatmu sungguh tak berarti",1339305,/Padi-sobat-lyrics,/songs/1339305,https://images.genius.com/88525c6b6cbc5d145880c028f8e4edfb.943x939x1.jpg
Terbunuh Sepi,Slank,1994,90an,Indonesian Rock,Slank,[Intro]:newline::newline:[Verse 1]:newline:Gerimis:newline:Di tengah malam:newline:Di tempat sedingin ini:newline:Aku sendiri:newline::newline:[Verse 2]:newline:Dan tak ada:newline:Tempat mengadu:newline:Dan bibir untuk kukecup:newline:Sepi membunuhku:newline:Ku terbunuh sepi:newline::newline:[Interlude]:newline::newline:[Verse 3]:newline:Ku terlepas:newline:Tak terkendali:newline:Dan aku tenggelam:newline:Dan semakin dalam:newline::newline:[Verse 4]:newline:Oh tak ada tempat berteduh:newline:Dan tubuh untuk kupeluk:newline:Sepi membunuhku:newline:Ku terbunuh sepi:newline::newline::newline::newline::newline:[Outro]:newline:Ku dibunuh:newline:Ku terbunuh:newline:Dibunuh sepi:newline:Hmmm:newline:Sepi:newline:Sepi:newline:Terbunuh:newline:Ku dibunuh:newline:Terbunuh:newline:Ku terbunuh:newline:Sepi,4834050,/Slank-terbunuh-sepi-lyrics,/songs/4834050,https://images.genius.com/8d70514c192f9f8eaf30ac19378e9d53.600x600x1.jpg
Bebas,Iwa K,1994,90an,Indonesian Hip Hop,Iwa K,"[Lirik ""Bebas"" Iwa K]:newline::newline:[Verse 1]:newline:Sudah tinggalkan:newline:Tinggalkan saja semua persoalan waktu kita sejenak:newline:'Tuk membebaskan pikiran:newline:Dan biarkan:newline:Biarkan terbang tinggi sampai melayang jauh menembus awan:newline:Sementara tinggalkan semua aturan yang kadang t'rlalu mengikat dan tak beralasan teman:newline:Memang, memang benar teman:newline:Kita perlu cooling down dan melonggarkan pakaian:newline::newline:[Chorus]:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline::newline:[Verse 2]:newline:Bagaikan anak kecil yang berlari b’telanjang bebas:newline:Keluarkan suara suara canda tawa dan senyum puas:newline:Berteman siraman hujan di lapang yang luas tak gentar:newline:Gelegar petir yang mengaum buas:newline:Yang penting, yang penting semua senang kawan:newline:Sejak kehadiranmu, uh-uh, bumi terkekeh riang:newline:Dadaku berdentam didie didie dum didie dum deg:newline:Degan dagadigidug didie dum:newline::newline::newline::newline::newline:[Chorus]:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline::newline:[Verse 3]:newline:Kita saling berpandang berpegangan tangan erat:newline:Dan biarkan tubuh tersiram hujan yang lebat:newline:Dan pekat di bawah naungan awan nan gelap:newline:Terkadang menyilaukan di kala kilat lewat:newline:Apakah kita kan selalu bersama-sama, kawan:newline:Apakah kita kan selalu berjalan beriringan:newline:Masih di dalam lebatnya hujan kita berjalan:newline:Bersamamu kita kan tebarkan senyuman:newline::newline:[Chorus]:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang:newline:Bebas lepas, ku tinggalkan saja semua beban di hatiku:newline:Melayang ku melayang jauh, melayang dan melayang",3569561,/Iwa-k-bebas-lyrics,/songs/3569561,https://images.genius.com/6bd0e8947fe18bbcf55acb3af0519bd6.1000x1000x1.jpg
Tak Bisa Ke Lain Hati,Kla Project,1998,90an,Indonesian Pop,Kla Project,Bulan merah jambu luruh dikotamu:newline:Kuayun sendiri langkah-langkah sepi:newline:Menikmati angin menabuh daun-daun:newline:Mencari gambaranmu diwaktu lalu:newline::newline:Chorus::newline:Sisi ruang batinku hampa rindukan pagi:newline:Tercipta nelangsa merenggut sukma:newline:Terwujud keinginan yang tak pernah terwujud:newline:Aku tak bisa pindah:newline:Pindah kelain hati:newline:Begitu lelah sudah kuharus menepi:newline:Biduk tlah ditambatkan berlabuh dipantaimu:newline:Sungguh kuakui tak bisa kelain hati:newline:Chorus,1230976,/Kla-project-tak-bisa-kelain-hati-lyrics,/songs/1230976,https://images.genius.com/ae4bb211522b24e3d14ca7f9bd5ea696.360x360x1.jpg
Mahadewi,Padi,1999,90an,Indonesian Pop,Padi,[Intro]:newline::newline:[Verse 1]:newline:Hamparan langit maha sempurna:newline:Bertahta bintang-bintang angkasa:newline:Namun satu bintang yang berpijar:newline:Teruntai turun menyapa aku:newline::newline:[Chorus]:newline:Ada tutur kata terucap:newline:Ada damai yang kurasakan:newline:Bila sinarnya sentuh wajahku:newline:Kepedihanku pun terhapuskan:newline::newline:[Instrumental]:newline::newline:[Verse 2]:newline:Alam rayapun semua tersenyum:newline:Merunduk dan memuja hadirnya:newline:Terpukau aku menatap wajahnya:newline:Aku merasa mengenal dia:newline::newline:[Chorus]:newline:Tapi ada entah di mana:newline:Hanya hatiku mampu menjawabnya:newline:Mahadewi resapkan nilainya:newline:Pencarianku pun usai sudah:newline::newline::newline::newline::newline:[Instrumental]:newline:Aaaaah:newline:Ooooh:newline::newline:[Chorus]:newline:Ada tutur kata terucap:newline:Ada damai yang kurasakan:newline:Bila sinarnya sentuh wajahku:newline:Kepedihanku terhapuskan:newline::newline:Ada tutur kata terucap:newline:Ada damai yang kurasakan:newline:Bila sinarnya sentuh wajahku:newline:Pencarianku pun usai sudah:newline::newline:[Coda]:newline:Mahadewi resapkan nilainya:newline:Mahadewi tercipta untukku:newline:Mahadewi resapkan nilainya (nanananana):newline:Mahadewi tercipta untukku (nanananana):newline::newline:[Outro]:newline:(nanananana):newline:(nanananana):newline:Mahadewi resapkan nilainya:newline:Mahadewi tercipta untukku,950109,/Padi-mahadewi-lyrics,/songs/950109,https://images.genius.com/88525c6b6cbc5d145880c028f8e4edfb.943x939x1.jpg
Yogyakarta,Kla Project,1993,90an,Indonesian Pop,Kla Project,"(Adi Adrian/Katon Bagaskara):newline:Pulang ke kotamu:newline:Ada setangkup haru dalam rindu:newline:Masih seperti dulu:newline:Tiap sudut menyapaku bersahabat:newline:Penuh selaksa makna:newline::newline:Terhanyut aku akan nostalgi:newline:Saat kita sering luangkan waktu:newline:Nikmati bersama:newline:Suasana Jogja:newline::newline:Di persimpangan langkahku terhenti:newline:Ramai kaki lima:newline:Menjajakan sajian khas berselera:newline:Orang duduk bersila:newline::newline:Musisi jalanan mulai beraksi:newline:Seiring laraku kehilanganmu:newline:Merintih sendiri:newline:Ditelan deru kotamu ...:newline::newline:Reff::newline:Walau kini kau t'lah tiada tak kembali:newline:Namun kotamu hadirkan senyummu abadi:newline:Ijinkanlah aku untuk s'lalu pulang lagi:newline:Bila hati mulai sepi tanpa terobati:newline::newline::newline::newline::newline:-Koko,Ery,Santi,Meni'-",875886,/Kla-project-yogyakarta-lyrics,/songs/875886,https://images.genius.com/ae4bb211522b24e3d14ca7f9bd5ea696.360x360x1.jpg
